(5.22227,0)
(-3.05529,-2.93335)
(1.11533,5.07124)
(3.14304,-3.40252)
(-4.13513,1.99653)
(4.85027,3.07478)
(-1.3879,-3.38958)
(-1.0775,6.04314)
(4.85503,-1.01289)
(-4.54552,0.784196)
(3.73403,6.08299)
(0.776331,-3.16318)
(-3.30954,6.36205)
(6.10766,2.16913)
(-4.18479,-0.488935)
(1.85023,8.99242)
(3.37931,-1.99154)
(-5.44833,6.07348)
(6.73508,6.29285)
(-2.91122,-1.56394)
(-0.881404,11.8341)
(6.40478,0.533547)
(-7.3727,5.26059)
(6.53956,11.7472)
(-0.441205,-2.09844)
(-4.72801,14.795)
(9.99991,5.24292)
(-8.97423,3.98936)
(5.08266,19.5989)
(3.93494,-1.39897)
(-10.5335,18.5188)
(14.7746,14.4142)
(-10.1833,2.37711)
(1.11576,33.5886)
(12.8451,2.60768)
(-21.8657,25.6758)
(23.8671,37.9637)
(-10.9431,0.533472)
(-12.8296,76.6815)
(46.8882,25.0242)
(-79.3067,65.8295)
(105.195,285.158)
(398.256,-1.42176)
(105.803,-289.826)
(-80.2868,-69.4017)
(47.8493,-28.5163)
(-13.3728,-81.423)
(-11.0324,-3.36909)
(24.5722,-42.624)
(-22.9151,-29.3594)
(13.8165,-6.01811)
(0.625819,-38.4785)
(-10.3977,-5.18607)
(15.6315,-19.0972)
(-11.6956,-22.3705)
(4.93659,-1.8997)
(4.68195,-24.7268)
(-9.37669,-6.78817)
(11.0657,-9.95795)
(-6.04507,-18.9099)
(0.565288,-1.03697)
(6.29666,-17.182)
(-8.04257,-8.08485)
(7.75192,-5.24654)
(-2.3498,-16.3493)
(-1.96153,-1.37111)
(6.75493,-12.0971)
(-6.48553,-9.02327)
(5.03946,-2.65144)
(0.268618,-14.0572)
(-3.39833,-2.22465)
(6.51521,-8.36681)
(-4.80606,-9.57935)
(2.75869,-1.31119)
(2.13523,-11.8642)
(-4.06753,-3.2976)
(5.79415,-5.56631)
(-3.10026,-9.73923)
(0.872467,-0.819549)
(3.36323,-9.74573)
(-4.15745,-4.36927)
(4.76973,-3.49683)
(-1.47026,-9.52138)
(-0.612576,-0.896206)
(4.0611,-7.7355)
(-3.79988,-5.32198)
(3.57799,-2.05193)
(0.00183134,-8.9767)
(-1.6981,-1.35749)
(4.29889,-5.88974)
(-3.12182,-6.07649)
(2.31722,-1.14552)
(1.24596,-8.14773)
(-2.38313,-2.04935)
(4.14108,-4.26086)
(-2.22965,-6.55747)
(1.11099,-0.701988)
(2.21503,-7.12111)
(-2.6919,-2.83956)
(3.67911,-2.89727)
(-1.22609,-6.75363)
(0.0344771,-0.645619)
(2.88292,-5.97421)
(-2.66039,-3.6279)
(2.98887,-1.8355)
(-0.208589,-6.65878)
(-0.841804,-0.895685)
(3.23659,-4.79566)
(-2.34891,-4.31825)
(2.16761,-1.0845)
(0.744377,-6.30748)
(-1.48563,-1.36854)
(3.28998,-3.65158)
(-1.80884,-4.84751)
(1.29548,-0.656764)
(1.54686,-5.73605)
(-1.86905,-1.96081)
(3.08726,-2.61875)
(-1.12468,-5.17753)
(0.44895,-0.5134)
(2.16649,-4.99811)
(-1.98963,-2.6033)
(2.66703,-1.75172)
(-0.367035,-5.27978)
(-0.299271,-0.619901)
(2.57014,-4.15554)
(-1.85405,-3.21502)
(2.10066,-1.10546)
(0.384447,-5.166)
(-0.890128,-0.928729)
(2.74298,-3.30819)
(-1.54756,-3.74129)
(1.43344,-0.658578)
(1.08438,-4.84391)
(-1.30262,-1.38154)
(2.69074,-2.47953)
(-1.07226,-4.11899)
(0.751976,-0.443753)
(1.67077,-4.3607)
(-1.51507,-1.91549)
(2.44293,-1.73881)
(-0.490261,-4.33262)
(0.0969664,-0.457009)
(2.08056,-3.74859)
(-1.52608,-2.4448)
(2.0436,-1.1257)
(0.138896,-4.35235)
(-0.452383,-0.652268)
